"","Propionibacteriaceae","Streptococcaceae","Micrococcaceae","Prevotellaceae","Actinomycetaceae","Corynebacteriaceae","Burkholderiaceae","Neisseriaceae","Lachnospiraceae","Fusobacteriaceae","Atopobiaceae","Xanthomonadaceae","Peptostreptococcaceae","Family_XI","Family_XI","Moraxellaceae","Veillonellaceae","Carnobacteriaceae","Family_XIII","Microbacteriaceae","Cardiobacteriaceae","Flavobacteriaceae","Staphylococcaceae","Pseudomonadaceae","Eggerthellaceae","Erysipelotrichaceae","Mycoplasmataceae","Thermoanaerobacteraceae","Saccharimonadaceae","Paludibacteraceae","Tannerellaceae","Pasteurellaceae","Rhizobiaceae","Bacillaceae","Porphyromonadaceae","Alcanivoracaceae","Planococcaceae","Spirochaetaceae","Lactobacillaceae","Clostridiales_vadinBB60_group","Aerococcaceae","Ruminococcaceae","Intrasporangiaceae","Hymenobacteraceae","Pseudonocardiaceae","Nocardioidaceae","Rhodobacteraceae","Weeksellaceae","Rikenellaceae","Peptococcaceae","Aphelidea_fa","Leptotrichiaceae"
"29-B1",0.281364636830521,0.277146001467351,0.358950843727073,0,0.0396184886280264,0,0.0141232575201761,0,0,0,0,0,0,0.0146735143066764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121056493030081,0,0,0,0,0,0,0,0.00201760821716801,0,0,0,0,0
"30-B1",0.286228983186549,0.287429943955164,0,0.0110088070456365,0.0596477181745396,0,0,0,0.0196156925540432,0.0536429143314652,0,0,0,0.077662129703763,0.0758606885508407,0.00280224179343475,0.0106084867894315,0.0128102481985588,0.0464371497197758,0,0,0,0,0,0,0.00420336269015212,0,0.044835868694956,0.00720576461168935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-B2",0.46501044464339,0.0151447329155476,0,0.0190987764846315,0.180170098478066,0.0475231274246494,0.00432706654729931,0.00402864816472695,0.0860190987764846,0.0182035213369144,0,0,0.00164130110414802,0,0,0,0.0419277827514175,0,0.00402864816472695,0.00186511489107729,0.0317069531483139,0.0294688152790212,0,0.000969859743360191,0,0,0,0,0.00947478364667264,0.011414503133393,0.00835571471202626,0.00313339301700985,0,0,0,0,0,0.00701283199045061,0,0,0,0.00387943897344076,0,0,0,0,0,0,0,0,0,0.00044762757385855
"32-B3",0.509207065013153,0.0727796567706376,0.0314418138544407,0.0611299010397094,0.0536139296004009,0,0.0129024176374796,0,0.070524865338845,0.00701490667668796,0.0696480020042591,0,0.00425905048227483,0,0.0447200300638858,0,0.00638857572341225,0,0.0137792809720656,0.00638857572341225,0,0,0.00463484905424026,0,0,0.0132782162094451,0,0,0.00764123762996367,0,0,0,0,0,0,0,0,0,0,0.00826756858323938,0,0,0,0,0,0,0,0,0.00187899285982713,0,0,0
"33-B1",0.876848456169407,0,0,0,0,0.0136046374068378,0.00224772270199929,0,0,0,0,0,0,0,0.0270909736188335,0.0727552348278718,0,0,0,0.00461374659884065,0,0.00224772270199929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34-B1",0.976012793176972,0,0,0,0,0,0.0127931769722814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35-B2",0.455922865013774,0.0749099385463022,0.0858232676414495,0.00572155117609663,0.0364484000847637,0.00974782792964611,0.01451578724306,0.0757575757575758,0.0637847001483365,0.0362364907819453,0,0,0,0.00413223140495868,0,0.0190718372536554,0.00731087094723458,0,0,0.00402627675354948,0,0,0.0173765628311083,0,0,0,0.0327399872854418,0,0.00286077558804832,0,0,0.0187539732994278,0,0.0105954651409197,0,0.00190718372536554,0,0,0,0,0.00445009535918627,0,0.00402627675354948,0,0,0.0033905488450943,0,0.000635727908455181,0,0,0,0
"36-B3",0.275536825205699,0.235199678908288,0.124423038330323,0.0236805137467389,0.101143889223359,0.00642183423640377,0,0.0565924142083082,0.0168573148705599,0.0429460164559502,0,0,0.0198675496688742,0.0186634557495485,0,0,0.0108368452739314,0.0188641380694361,0.0186634557495485,0,0,0,0,0,0,0,0,0,0.00742524583584186,0,0,0.013646397752358,0,0,0.00682319887617901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240818783865141,0,0
"37-B1",0.046677959721438,0.132316958403915,0.01562205910032,0.484095614530397,0.0877093920572181,0,0.023338979860719,0.00508187464709204,0.00470543948804818,0.0218332392245436,0.0617353660831922,0,0.0141163184641446,0.015433841520798,0.00489365706757011,0,0.0479954827780915,0,0.0146809712027103,0,0,0,0,0,0,0,0,0,0,0,0,0.00395256916996047,0,0,0.0137398833051007,0,0,0.0020703933747412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38-B2",0.0180221811460259,0.301756007393715,0.0804066543438078,0.177911275415896,0.117375231053604,0,0,0.00970425138632163,0.0157116451016636,0.0219500924214418,0.0325785582255083,0,0.0573012939001848,0.0397412199630314,0.0277264325323475,0,0.011090573012939,0.0240295748613678,0.044362292051756,0,0,0.000462107208872458,0,0,0,0.0101663585951941,0,0,0.00970425138632163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
