"","Mock1Gold","Mock2Gold","Mock3Gold"
"GASV_1",0.05,0.05,0.05
"GASV_2",0.05,0.05,0.05
"GASV_3",0.05,0.05,0.05
"GASV_4",0.0357,0.0357,0.0357
"GASV_5",0.0071,0.0071,0.0071
"GASV_6",0.0071,0.0071,0.0071
"GASV_7",0.0464,0.0464,0.0464
"GASV_8",0.0036,0.0036,0.0036
"GASV_9",0.05,0.05,0.05
"GASV_10",0.05,0.05,0.05
"GASV_11",0.05,0.05,0.05
"GASV_12",0.05,0.05,0.05
"GASV_13",0.05,0.05,0.05
"GASV_14",0.05,0.05,0.05
"GASV_15",0.05,0.05,0.05
"GASV_16",0.05,0.05,0.05
"GASV_17",0.05,0.05,0.05
"GASV_18",0.05,0.05,0.05
"GASV_19",0.05,0.05,0.05
"GASV_20",0.05,0.05,0.05
"GASV_21",0.05,0.05,0.05
"GASV_22",0.05,0.05,0.05
"GASV_23",0.05,0.05,0.05
