"","Actinobacteria","Firmicutes","Bacteroidetes","Proteobacteria","Fusobacteria","Tenericutes","Patescibacteria","Spirochaetes","Cyanobacteria","Opisthokonta_ph"
"29-B1",0.67993396918562,0.303925165077036,0,0.0161408657373441,0,0,0,0,0,0
"30-B1",0.345876701361089,0.579463570856685,0.0110088070456365,0.00280224179343475,0.0536429143314652,0,0.00720576461168935,0,0,0
"31-B2",0.694568785437183,0.152641002685765,0.0683378096090719,0.0441659206207102,0.0186511489107729,0,0.00947478364667264,0.00701283199045061,0,0
"32-B3",0.670299386195666,0.238632093198046,0.0630088938995365,0.0129024176374796,0.00701490667668796,0,0.00764123762996367,0,0,0
"33-B1",0.895066840175086,0.0270909736188335,0.00224772270199929,0.0750029575298711,0,0,0,0,0,0
"34-B1",0.976012793176972,0,0,0.0127931769722814,0,0,0,0,0,0
"35-B2",0.599385463021827,0.182559864378046,0.00635727908455181,0.130006357279085,0.0362364907819453,0.0327399872854418,0.00286077558804832,0,0,0
"36-B3",0.507525586995786,0.341360626128838,0.0305037126229179,0.0702388119606663,0.0429460164559502,0,0.00742524583584186,0,0,0
"37-B1",0.211744776962168,0.234142668925278,0.497835497835498,0.0323734236777715,0.0218332392245436,0,0,0.0020703933747412,0,0
"38-B2",0.248382624768946,0.5318853974122,0.178373382624769,0.00970425138632163,0.0219500924214418,0,0.00970425138632163,0,0,0
"39-B3",0.176350553109226,0.325099344860917,0.430673397057244,0.0138545806035872,0.0314681559445817,0.0144989797014284,0.00644399097841263,0.00161099774460316,0,0
"40-B1",0.444280078895464,0.0571992110453649,0,0.498520710059172,0,0,0,0,0,0
"41-B2",0.208378378378378,0.60027027027027,0.05,0.0986486486486487,0.0302702702702703,0,0.0124324324324324,0,0,0
"42-B3",0.685377358490566,0.249646226415094,0.05,0.00790094339622642,0,0,0.00707547169811321,0,0,0
"44-B2",0.926006631927996,0.0526764566556135,0,0.00236854571293226,0,0,0,0,0,0
"45-B3",0.468381953252401,0.464939300597934,0,0.0438485232832035,0,0,0,0,0,0
"46-B1",0.760432766615147,0.160741885625966,0,0.0386398763523957,0.0401854714064915,0,0,0,0,0
"49-B1",0.416218637992832,0.492159498207885,0.044578853046595,0.0291218637992832,0.017921146953405,0,0,0,0,0
"50-B2",0.691335409415644,0.186114673017036,0.0959882762410698,0.0155706173291812,0.00842645173108628,0,0,0,0.00256457226598278,0
"52-B1",0.735159817351598,0.171993911719939,0.0426179604261796,0.0389215046749293,0.0113068058273538,0,0,0,0,0
"53-B2",0.44478527607362,0.328029141104294,0.00843558282208589,0.216449386503067,0,0,0,0,0,0
"54-B3",0.943113284433578,0.00635696821515892,0,0.0487367563162184,0,0,0,0,0,0
