sample-id	forward-absolute-filepath	reverse-absolute-filepath	Sampleset

zr1429-30	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_30_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_30_R2.fastq.gz	B1-30

zr1429-31	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_31_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_31_R2.fastq.gz	B2-31

zr1429-32	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_32_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_32_R2.fastq.gz	B3-32

zr1429-34	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_34_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_34_R2.fastq.gz	B1-34

zr1429-35	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_35_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_35_R2.fastq.gz	B2-35

zr1429-36	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_36_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_36_R2.fastq.gz	B3-36

zr1429-37	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_37_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_37_R2.fastq.gz	B1-37

zr1429-38	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_38_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_38_R2.fastq.gz	B2-38

zr1429-39	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_39_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_39_R2.fastq.gz	B3-39

zr1429-52	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_52_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_52_R2.fastq.gz	B1-52

zr1429-53	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_53_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_53_R2.fastq.gz	B2-53

zr1429-54	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_54_R1.fastq.gz	$HOME/PluMA/pipelines/ASV_OTU/FASTQ/zr1429_54_R2.fastq.gz	B3-54
