"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2","42-B3","44-B2","45-B3","48-B3","49-B1","50-B2","52-B1","53-B2","54-B3"
"Mollicutes",0.0,0.0,0.0002117074203450831,0.0,0.0,0.0,0.05565000566700669,0.0008377840611582365,0.004233787691036762,0.005239991616013414,0.028718941594062602,0.0,0.0004145077720207254,0.0,0.0,0.0,0.0,0.00072038695070495,0.0,0.0,0.0,0.0
"Spirochaetes",0.0,0.0,0.008680004234148407,0.0,0.0,0.0,0.0,0.0,0.004440313919867823,0.00031439949696080485,0.003764655265139292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cytophagia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006195786864931846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004541701073492981,0.0,0.0006199628022318661,0.0,0.0,0.0
"Bacteroidia",0.0,0.022012935436287302,0.057055149782999894,0.058403103941188486,0.0,0.0050110242533573865,0.00929389096679134,0.025552413865326213,0.36327963651383727,0.09809264305177112,0.3075185543723782,0.0,0.046632124352331605,0.04004829945663111,0.0006033182503770739,0.0,0.01703137902559868,0.04651641453123392,0.07005579665220087,0.027732128184059162,0.01080199735045348,0.00010054293183189222
"Sphingobacteriia",0.0,0.0,0.0,0.002144169899938738,0.0006018657839301836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041164968611711434,0.0004133085348212441,0.0,0.0,0.0
"Flavobacteriia",0.0,0.00011346873936230568,0.0026463427543135386,0.0008168266285480906,0.0012037315678603672,0.0,0.0,0.00020944601528955913,0.0,0.0012575979878432194,0.0012907389480477573,0.0,0.0009326424870466321,0.0,0.0,0.0,0.0013418662262592899,0.00072038695070495,0.00010332713370531102,0.0,0.0,0.0010054293183189222
"Deltaproteobacteria",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006037432078889113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gammaproteobacteria",0.008203362365809196,0.004084874617043005,0.049539536360749446,0.006738819685521748,0.15267328719028989,0.02114652234916817,0.08387169896860479,0.026913812964708347,0.0187938868236266,0.010794382728987634,0.02452404001290739,0.1431598062953995,0.0705699481865285,0.013785469913463473,0.006435394670688788,0.03078169299311462,0.023947151114781174,0.01101162910363281,0.011469311841289522,0.008216926869350863,0.2691327830429023,0.009853207319525437
"Betaproteobacteria",0.018229694146242658,0.0026097810053330307,0.0163014713665714,0.01592811925668777,0.007021767479185475,0.04499899779514933,0.06936416184971098,0.036338883652738505,0.030049566294919453,0.0038775937958499267,0.006668817898246747,0.31618240516545604,0.026528497409326425,0.012276111893741195,0.00020110608345902463,0.02176994734710409,0.06420313790255987,0.009056293094576515,0.014879107253564786,0.030608052588331963,0.02343829613777642,0.057912728735169915
"Alphaproteobacteria",0.00040510431436094796,0.0,0.0012702445220704986,0.0008168266285480906,0.0,0.0016035277610743637,0.0,0.00010472300764477956,0.0,0.0,0.0008604926320318382,0.0557909604519774,0.0,0.0001006238679814852,0.003117144293614882,0.0,0.0,0.0,0.0041330853482124405,0.0004108463434675431,0.0032609803322123715,0.0022119445003016287
