"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2","42-B3","44-B2","45-B3","48-B3","49-B1","50-B2","52-B1","53-B2","54-B3"
"Lactobacillaceae",0.02983997112260859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009279307145066501,0.0013531799729364006,0.0,0.0,0.0,0.0,0.0,0.0
"Aerococcaceae",0.0,0.0,0.0,0.0009397514879398559,0.0,0.0,0.011764705882352941,0.001555728414268252,0.0010317551301157859,0.0,0.0,0.0,0.019800897057214748,0.003029975110918732,0.0,0.0,0.0002120665889089174,0.0,0.0,0.0,0.0,0.0
"Carnobacteriaceae",0.0030080616051016726,0.0175057500638896,0.0,0.00010441683199331732,0.0,0.0036159100040176776,0.0,0.03133681520168908,0.010317551301157859,0.032929367119598485,0.01936026936026936,0.07232832182039821,0.02373919702439558,0.0019478411427334705,0.0036086194453036394,0.03619756427604871,0.0,0.05652595827268316,0.004450022820629849,0.0016672224074691564,0.006859327561003036,0.0020193861066235864
"Leuconostocaceae",0.0,0.0,0.0,0.0,0.000502108857200241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008995839424266276,0.0
"Mycoplasmataceae",0.0,0.0,0.00021226915729144556,0.0,0.0,0.0,0.05955124317768344,0.0008889876652961441,0.004700217814971913,0.006120700208103807,0.032106782106782104,0.0,0.0004375888852423148,0.0,0.0,0.0,0.0,0.000849102377486657,0.0,0.0,0.0,0.0
"Leptotrichiaceae",0.0,0.0,0.0007429420505200594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012130033964095099,0.0,0.0,0.0,0.0
"Spirochaetaceae",0.0,0.0,0.008703035448949268,0.0,0.0,0.0,0.0,0.0,0.004929496732775421,0.0003672420124862284,0.004208754208754209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cytophagaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004665464955996183,0.0,0.0,0.0,0.0,0.0
"NS11-12 marine group",0.0,0.0,0.0,0.0010441683199331733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sphingobacteriaceae",0.0,0.0,0.0,0.0,0.0006025306286402892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011410314924691921,0.0,0.0,0.0
"Rikenellaceae",0.0,0.0,0.0,0.002506003967839616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Prevotellaceae",0.0,0.02159468438538206,0.027701125026533643,0.055027670460478226,0.0,0.002812374447569305,0.008611279563371741,0.018557617513057005,0.3883984867591425,0.10809156567511323,0.33381433381433384,0.0,0.03522590526200634,0.043068931933773404,0.0006186204763377668,0.0,0.016117060757077722,0.04585152838427948,0.06789137380191693,0.018561742803156606,0.0010120319352299562,0.00010096930533117933
"Porphyromonadaceae",0.0,0.0,0.02950541286351093,0.0,0.0,0.0022097227802330252,0.0013341419041843542,0.008556506278475385,0.013412816691505217,0.004529318153996817,0.008056758056758057,0.0,0.012143091565474237,0.0,0.0,0.0,0.001378432827907963,0.008976225133430374,0.009470561387494294,0.011448260531288208,0.01090745530192286,0.0
"WCHB1-69",0.0,0.0,0.0,0.0011485851519264906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048520135856380397,0.00034230944774075767,0.0,0.0,0.0
"Flavobacteriaceae",0.0,0.0001277791975466394,0.0026533644661430695,0.0008353346559465386,0.0012050612572805785,0.0,0.0,0.00022224691632403602,0.0,0.0014689680499449136,0.001443001443001443,0.0,0.0009845749917952085,0.0,0.0,0.0,0.001378432827907963,0.000849102377486657,0.00011410314924691921,0.0,0.0,0.0010096930533117932
"Bdellovibrionaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006492803809111568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rhodothermaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006878367534105239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006846188954815153,0.0,0.0,0.0
"Xanthomonadaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005731972945087699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007780371234856063,0.17733048465084897,0.0005048465266558966
"Pseudomonadaceae",0.0,0.00038333759263991824,0.0006368074718743367,0.0,0.0,0.008638007231820007,0.0,0.0,0.00022927891780350797,0.0,0.0,0.0337261275904104,0.0,0.0,0.0,0.015110509697789806,0.0,0.0,0.0,0.0,0.0,0.0005048465266558966
"Alcanivoracaceae",0.0,0.0001277791975466394,0.0,0.0,0.0,0.0001004419445560466,0.0016979987871437235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006765899864682003,0.0,0.0,0.007644910999543587,0.0007780371234856063,0.004160575733723153,0.005250403877221325
"Enterobacteriaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.00012128562765312311,0.0,0.0,0.0,0.0,0.0,0.0,0.0003246401904555784,0.0,0.004961659900766802,0.0,0.0,0.0,0.0,0.0,0.0
"Pasteurellaceae",0.0,0.0,0.007111016769263426,0.003236921791792837,0.0,0.007934913619927682,0.04960582171012735,0.024891654628292032,0.014788490198326265,0.00795691027053495,0.025853775853775855,0.0,0.04627502461437479,0.00010821339681852613,0.0005155170636148056,0.0,0.018237726646166897,0.012979136341581756,0.002624372432679142,0.005446259864399244,0.04868998088384122,0.0020193861066235864
"Moraxellaceae",0.009505474672121286,0.004088934321492461,0.004351517724474634,0.0036545891197661065,0.15284193613175337,0.004519887505022097,0.038326258338386904,0.003667074119346594,0.005273415109480683,0.0,0.0015632515632515633,0.10981308411214953,0.00339131386062794,0.013634887999134293,0.006083101350654706,0.010036084799278304,0.006361997667267522,0.0,0.002167959835691465,0.001889518728465044,0.0667941077251771,0.0013126009693053312
"Cardiobacteriaceae",0.0,0.0,0.03757164084058586,0.0,0.0,0.0,0.0,0.0,0.0,0.004039662137348513,0.0,0.0,0.024833169237501368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Neisseriaceae",0.0,0.0,0.0030779027807259604,0.0,0.0,0.0,0.056155245603396,0.03133681520168908,0.0022927891780350797,0.003917248133186437,0.0012025012025012026,0.0,0.025380155344054262,0.0,0.0,0.0,0.022479058424345246,0.010674429888403688,0.0014833409402099497,0.012670890296765588,0.0028111998200832113,0.00020193861066235866
"Oxalobacteraceae",0.0,0.0,0.0,0.0,0.003414340228961639,0.0,0.0,0.0,0.0,0.0,0.0012025012025012026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011410314924691921,0.000444592641991775,0.0020240638704599125,0.0
