"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2"
"Escherichia-Shigella",0.0,0.0,0.0,0.0,0.0,0.0,0.00012861736334405144,0.0,0.0,0.0,0.0,0.0,0.0
"Faecalibacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0011575562700964631,0.0,0.0,0.0,0.0,0.0,0.0
"Fusicatenibacter",0.0,0.0,0.0,0.0,0.0,0.0,0.0003858520900321543,0.0,0.0,0.0,0.0,0.0,0.0
"Blautia",0.0,0.0,0.0,0.0,0.0,0.0,0.0005144694533762058,0.0,0.0,0.0,0.0,0.0,0.0
"Lactobacillus",0.029854339713494642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carnobacterium",0.0,0.0,0.0,0.0,0.0,0.00181068302987627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abiotrophia",0.0,0.0,0.0,0.0009488666315234581,0.0,0.0,0.01247588424437299,0.001605872906629961,0.0010383017997231195,0.0,0.0,0.0,0.02020314767273133
"Granulicatella",0.003009510051763573,0.01755734973728053,0.0,0.00010542962572482868,0.0,0.00181068302987627,0.0,0.03234686854783207,0.010383017997231195,0.03325914935707221,0.019465602708257767,0.0,0.02399821408639357
"Fructobacillus",0.0,0.0,0.0,0.0,0.000502108857200241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mycoplasma",0.0,0.0,0.00021278859453133312,0.0,0.0,0.0,0.06315112540192926,0.0009176416609314062,0.004730041532071989,0.006181998021760633,0.03228146536089953,0.0,0.00044647840160732226
"Leptotrichia",0.0,0.0,0.0007447600808596659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Treponema_2",0.0,0.0,0.008724332375784658,0.0,0.0,0.0,0.0,0.0,0.0049607752653437935,0.000370919881305638,0.004231652762664732,0.0,0.0
"Hymenobacter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured bacterium",0.0,0.0,0.0,0.0010542962572482868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pedobacter",0.0,0.0,0.0,0.0,0.0006025306286402892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rikenellaceae RC9 gut group",0.0,0.0,0.0,0.002530311017395888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alloprevotella",0.0,0.0030757400999615533,0.0003191828917969997,0.0016868740115972588,0.0,0.0,0.0002572347266881029,0.00653819683413627,0.011882787263497924,0.0004945598417408506,0.0006045218232378189,0.0,0.005134501618484206
"Prevotella_6",0.0,0.00012815583749839805,0.0,0.012967843964153927,0.0,0.0,0.0,0.00011470520761642578,0.03587909552376557,0.013105835806132542,0.024180872929512754,0.0,0.0029021096104475948
"Prevotella_2",0.0,0.0,0.017023087562506648,0.0,0.0,0.0,0.0,0.0004588208304657031,0.0,0.0,0.0,0.0,0.0
"Prevotella_7",0.0,0.012431116237344612,0.0006383657835939994,0.01750131787032156,0.0,0.0,0.00887459807073955,0.006308786418903418,0.3281033687125058,0.07900593471810088,0.27626647321968323,0.0,0.006920415224913495
"Prevotella",0.0,0.0030757400999615533,0.009788275348441323,0.014865577227200843,0.0,0.0013077155215773062,0.0,0.0019499885294792384,0.014536225196123673,0.016567754698318497,0.03300689154878491,0.0,0.020984484875544145
"uncultured",0.0,0.0,0.018193424832428983,0.0,0.0,0.0,0.0,0.0009176416609314062,0.0,0.0,0.0,0.0,0.0
"Tannerella",0.0,0.0,0.009149909564847325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002344011608438442
"Porphyromonas",0.0,0.0,0.0022342802425789976,0.0,0.0,0.002213057036515441,0.0014147909967845659,0.007914659325533379,0.013497923396400553,0.004574678536102868,0.008100592431386774,0.0,0.01004576403616475
"uncultured bacterium",0.0,0.0,0.0,0.0011597258829731155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Flavobacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Capnocytophaga",0.0,0.0,0.0025534631343759975,0.0008434370057986294,0.0012050612572805785,0.0,0.0,0.00022941041523285156,0.0,0.001483679525222552,0.0014508523757707653,0.0,0.001004576403616475
"Cloacibacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bergeyella",0.0,0.00012815583749839805,0.00010639429726566656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bdellovibrio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Silanimonas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046146746654360867,0.0,0.0,0.0,0.0
"Salinibacter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006922011998154131,0.0,0.0,0.0,0.0
"Stenotrophomonas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011536686663590217,0.0,0.0,0.0,0.0
"Pseudomonas",0.0,0.00038446751249519417,0.0006383657835939994,0.0,0.0,0.008651041142742179,0.0,0.0,0.00023073373327180433,0.0,0.0,0.0345150223515958,0.0
"Alcanivorax",0.0,0.00012815583749839805,0.0,0.0,0.0,0.00010059350165979277,0.0018006430868167203,0.0,0.0,0.0,0.0,0.0,0.0
"Aggregatibacter",0.0,0.0,0.007128417916799659,0.0,0.0,0.0,0.0,0.0020646937370956643,0.0,0.0,0.0,0.0,0.0
"Actinobacillus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005735260380821289,0.005076142131979695,0.0,0.004231652762664732,0.0,0.000781337202812814
"Haemophilus",0.0,0.0,0.0,0.003268318397469689,0.0,0.00794688663112363,0.05260450160771704,0.023055746730901584,0.009806183664051685,0.008036597428288822,0.02176278563656148,0.0,0.046433753767161516
"Alkanindiges",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Moraxella",0.0,0.00012815583749839805,0.0,0.0,0.1329584253866238,0.0,0.0005144694533762058,0.00034411562284927734,0.0,0.0,0.0,0.0,0.0
"Psychrobacter",0.0,0.0,0.0,0.0005271481286241434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acinetobacter",0.009510051763572891,0.00397283096245034,0.004362166187892329,0.0031628887717448603,0.019883510745129545,0.004526707574690675,0.040128617363344055,0.0034411562284927736,0.0053068758652515,0.0,0.0015717567404183292,0.1123817444640815,0.0034602076124567475
"Cardiobacterium",0.0,0.0,0.03766358123204596,0.0,0.0,0.0,0.0,0.0,0.0,0.004080118694362018,0.0,0.0,0.025337649291215538
"Neisseria",0.0,0.0,0.0006383657835939994,0.0,0.0,0.0,0.0,0.0066529020417526955,0.00011536686663590217,0.0,0.0,0.0,0.006808795624511664
"Burkholderia",0.0,0.0007689350249903883,0.00042557718906266625,0.0021085925144965737,0.0014059048001606748,0.010059350165979277,0.0,0.00034411562284927734,0.0018458698661744347,0.0,0.001088139281828074,0.0016633745711612433,0.0005580980020091528
